step,time_fs,target_au,lagrange_au,free_energy_au,free_energy_ev
0,0.0,0.8692740210272776,-0.020013279,0.0,0.0
1,0.9999999999999999,0.8688960758007127,-0.002043121,-4.168055547599667e-06,-0.00011341856940046755
2,1.9999999999999998,0.8685181305741478,-0.001710378,-4.877364062582158e-06,-0.00013271983736922428
3,2.9999999999999996,0.8681401853475839,-0.001409151,-5.46686960992207e-06,-0.0001487611005120432
4,3.9999999999999996,0.867762240121019,-0.00097384,-5.917189646620266e-06,-0.0001610149329649453
5,4.999999999999999,0.8673842948944541,-0.000504765,-6.196605497482538e-06,-0.00016861822560600994
6,5.999999999999999,0.8670063496678897,0.000158144,-6.262107373671061e-06,-0.00017040062245881273
7,6.999999999999999,0.8666284044413253,0.000830021,-6.07537125126696e-06,-0.00016531927370599665
8,7.999999999999999,0.8662504592147604,0.001476989,-5.6394095426985665e-06,-0.00015345615126568124
9,8.999999999999998,0.865872513988196,0.002198213,-4.94489701641824e-06,-0.0001345575026603904
10,9.999999999999998,0.8654945687616311,0.002475524,-4.061688721734075e-06,-0.00011052418061807918
11,10.999999999999998,0.8651166235350662,0.002788818,-3.0668722567823183e-06,-8.345384554640855e-05
12,11.999999999999998,0.8647386783085023,0.002589151,-2.050583400701134e-06,-5.579921694609013e-05
13,12.999999999999998,0.8643607330819374,0.002368977,-1.1136329955530026e-06,-3.0303497578269387e-05
14,13.999999999999998,0.8639827878553725,0.0019245,-3.022834267955635e-07,-8.225551082294916e-06
15,14.999999999999998,0.8636048426288085,0.001503156,3.4544968495718337e-07,9.400164805924787e-06
16,15.999999999999998,0.8632268974022437,0.001274754,8.703985971202104e-07,2.3684752414204145e-05
17,16.999999999999996,0.8628489521756788,0.001098206,1.3188230495345712e-06,3.588700339099698e-05
18,17.999999999999996,0.8624710069491148,0.001166834,1.7468535775235064e-06,4.753430741317807e-05
19,18.999999999999996,0.86209306172255,0.00133049,2.218779420016107e-06,6.037606379270752e-05
20,19.999999999999996,0.8617151164959851,0.001824188,2.814927165740279e-06,7.6598070361283e-05
21,20.999999999999996,0.8613371712694207,0.00266567,3.663387365266709e-06,9.968584856494473e-05
22,21.999999999999996,0.8609592260428562,0.003476678,4.824122918516003e-06,0.00013127107203386184
23,22.999999999999996,0.8605812808162914,0.004489176,6.329451165921246e-06,0.0001722331404010021
24,23.999999999999996,0.860203335589727,0.005446718,8.207063020397146e-06,0.00022332556179319163
25,24.999999999999996,0.8598253903631621,0.006210935,1.0410040172545363e-05,0.00028327162397138344
26,25.999999999999996,0.8594474451365977,0.006848774,1.2877967510981703e-05,0.0003504273480046078
27,26.999999999999996,0.8590694999100332,0.007446118,1.557931060880991e-05,0.0004239346384225449
28,27.999999999999996,0.8586915546834684,0.007857135,1.847120631994007e-05,0.0005026271296012238
29,28.999999999999996,0.8583136094569044,0.008149113,2.1495948833344617e-05,0.0005849345664281355
30,29.999999999999996,0.8579356642303395,0.008204047,2.4586248213968152e-05,0.00066902589649002
31,30.999999999999996,0.8575577190037746,0.008008092,2.7649898487694007e-05,0.0007523920674110011
32,31.999999999999996,0.8571797737772102,0.007647556,3.060838720288178e-05,0.0008328966465443724
33,32.99999999999999,0.8568018285506458,0.007065795,3.338880759149148e-05,0.000908555739665051
34,33.99999999999999,0.8564238833240809,0.006183681,3.589259569583257e-05,0.0009766872848503863
35,34.99999999999999,0.8560459380975165,0.005440313,3.808921221879031e-05,0.0010364602654909087
36,35.99999999999999,0.8556679928709516,0.004635727,3.9993307829127275e-05,0.001088273346593078
37,36.99999999999999,0.8552900476443872,0.003956878,4.161707485087981e-05,0.001132458298195484
38,37.99999999999999,0.8549121024178228,0.003008015,4.293324888232139e-05,0.00116827321813198
39,38.99999999999999,0.8545341571912579,0.002069753,4.3892807970922615e-05,0.001194384151117756
40,39.99999999999999,0.854156211964693,0.000821927,4.443925629729877e-05,0.0012092537675902513
41,40.99999999999999,0.8537782667381291,-0.000393986,4.452012542639941e-05,0.0012114543286975855
42,41.99999999999999,0.8534003215115642,-0.001496469,4.4162881204756823e-05,0.0012017332181983218
43,42.99999999999999,0.8530223762849993,-0.002606406,4.3387550194036215e-05,0.001180635386597111
44,43.99999999999999,0.8526444310584353,-0.003691111,4.219749194935652e-05,0.0011482522520459093
45,44.99999999999999,0.8522664858318705,-0.004404521,4.0667639214144725e-05,0.0011066228383685799
46,45.99999999999999,0.8518885406053056,-0.005078503,3.8875607387045976e-05,0.0010578591681562922
47,46.99999999999999,0.8515105953787416,-0.005385841,3.6898132955081045e-05,0.001004049347596529
48,47.99999999999999,0.8511326501521768,-0.005467056,3.484723264730744e-05,0.0009482415071696856
49,48.99999999999999,0.8507547049256119,-0.005280376,3.281626233619365e-05,0.0008929759895798338
50,49.99999999999999,0.8503767596990475,-0.005091222,3.08563143582202e-05,0.0008396430881291551
51,50.99999999999999,0.849998814472483,-0.004772058,2.8992424561085178e-05,0.0007889240629393578
52,51.99999999999999,0.8496208692459182,-0.004485093,2.7243076545066343e-05,0.0007413218783968165
53,52.99999999999999,0.8492429240193538,-0.003963257,2.5646569767642844e-05,0.0006978787158320081
54,53.99999999999999,0.8488649787927889,-0.003550733,2.4226631441165792e-05,0.0006592402255847593
55,54.99999999999999,0.8484870335662245,-0.002843076,2.3018376645607917e-05,0.0006263619376592666
56,55.99999999999999,0.84810908833966,-0.002171211,2.2070813727470467e-05,0.0006005774371014529
57,56.99999999999999,0.8477311431130952,-0.001501582,2.137675643621554e-05,0.000581691176072271
58,57.99999999999999,0.8473531978865303,-0.000916057,2.091988887641234e-05,0.0005692591764392041
59,58.99999999999999,0.8469752526599663,-0.000668298,2.0620489171695466e-05,0.0005611120954322184
60,59.99999999999999,0.8465973074334014,-0.000536268,2.039285918680446e-05,0.0005549179679921809
61,60.99999999999999,0.8462193622068366,-0.000551939,2.0187217866222372e-05,0.0005493221825896866
62,61.99999999999999,0.8458414169802726,-0.000626057,1.996460888366628e-05,0.0005432646835835264
63,62.99999999999999,0.8454634717537077,-0.000932388,1.9670105459359547e-05,0.0005352508371539498
64,63.99999999999999,0.8450855265271429,-0.001381778,1.9232791462770507e-05,0.0005233509170819888
65,64.99999999999999,0.8447075813005784,-0.001775253,1.863619906448728e-05,0.0005071168109008836
